SMILES,logKow
Cc1ccccc1C(=N)c1ccccc1,3.21
Cc1ccccc1C(=N)c1ccccc1C,3.31
Cc1cccc(C)c1C(=N)c1ccccc1,3.53
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,2.66
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,-1.34
CC1=NS(=O)(=O)c2c(Cl)cccc2N1,0.62
CCCC(=O)N1CCCC1=O,1.18
NC(=O)c1cccc(Br)c1,1.65
O=C(c1ccccc1)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,4.28
O=C(c1ccccc1)c1cccc(NS(=O)(=O)C(F)F)c1,2.86
CNC(=O)Oc1cccc2c1OC(C)(C)O2,1.7
COC(=O)c1ccc(S(N)(=O)=O)cc1,0.64
COC(=O)Cn1ccnc1[N+](=O)[O-],-0.09
CC(=O)Nc1ccc(S(C)(=O)=O)cc1,0.58
O=C(O)C(F)(F)C(F)F,1.32
NC(=O)Cn1ccnc1[N+](=O)[O-],-1.22
COC(=O)c1ccsc1,1.76
CCNc1nc(NC(C)C(C)C)nc(SC)n1,3.9
CCNc1nc(Cl)nc(NC2CC2)n1,2.17
CC(C)Nc1nc(Cl)nc(NC2CC2)n1,3.06
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0.91
O=C(OCCOCCOCCO)c1ccccc1,1.09
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.9
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49
CCN(CC)CCC(=O)Nc1ccc(N)cc1,0.8
N#Cc1ccc2nccnc2c1,1.01
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,3.97
CN(C)c1nnc(-c2ccccc2)c2ccccc12,3.22
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,1.7
CNC(=O)ON=C(SC)C(=O)N(C)C,-0.47
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC=N2,-0.7
NS(=O)(=O)c1cc2c(cc1C(F)(F)C(F)(F)F)N=CNS2(=O)=O,1.05
NS(=O)(=O)c1cc2c(cc1[N+](=O)[O-])N=CNS2(=O)=O,0.08
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NCN2,-0.52
NS(=O)(=O)c1cc2c(cc1Br)NCNS2(=O)=O,0.08
CC(C)(C)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.36
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(CC1CCCC1)N2,1.24
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2,0.51
NS(=O)(=O)c1cc2c(cc1[N+](=O)[O-])NCNS2(=O)=O,0.2
